participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P10,desk,10,v1,Study,5,sampling,False,R1 215m Draycott Place,20:47:46,17,31.0,44.9,53.5,0,0.0,34.26,55.3,35.0,63.3,0.5811,0.9087,0.6749,0.3202,0.4231,0.392,0.9336,35.0,35.0,65.0,55.0,70.0,0.7554,1.1813,0.8774,0.8241,0.55,0.5096,0.9402,True,True,True,False,False,0.9402
P10,desk,10,v1,Study,6,sampling,False,R2 165m Cliveden Place,20:48:21,14,34.8,41.5,54.2,2,0.0,44.42,55.5,30.0,65.0,0.0268,0.2329,0.5053,0.9,0.717,0.6173,0.5144,30.0,30.0,70.0,65.0,60.0,0.0348,0.3028,0.6569,1.23,0.9321,0.8025,0.563,False,False,True,True,True,0.563
P10,desk,10,v1,Study,7,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,20:49:16,41,54.6,24.0,53.1,5,0.0,32.54,38.1,42.5,73.3,0.7193,0.9106,0.835,0.5324,0.1053,0.5415,0.3531,30.0,55.0,90.0,70.0,60.0,0.9351,1.1838,1.0855,0.9727,0.1369,0.7039,0.4178,True,True,True,False,True,0.4178
P10,desk,10,v1,Study,8,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,20:49:47,17,31.8,32.2,50.3,4,0.0,45.24,56.5,22.5,58.3,0.4335,0.3575,0.8267,0.9749,0.2534,0.1945,0.6731,25.0,20.0,55.0,60.0,60.0,0.5635,0.4647,1.0747,1.2824,0.3294,0.2529,0.7058,False,False,True,False,False,0.7058
P10,desk,10,v1,Study,9,sampling,False,R1 215m Draycott Place,20:50:27,24,39.1,31.2,47.3,0,0.0,44.29,56.2,30.0,58.3,0.9758,0.7845,0.7938,0.1086,0.9207,0.1321,0.5425,20.0,40.0,65.0,55.0,55.0,1.2685,1.0198,1.0319,0.676,1.1969,0.1717,0.5883,True,True,True,True,False,0.5883
P10,desk,10,v1,Study,10,sampling,False,R2 165m Cliveden Place,20:50:56,17,29.7,33.4,50.3,1,0.0,48.29,56.8,60.0,66.7,0.5454,0.8347,0.1907,0.2619,0.5028,0.9393,0.7802,65.0,55.0,75.0,60.0,65.0,0.709,1.0851,0.2479,0.7833,0.6536,1.2211,0.8022,True,True,False,True,True,0.8022
P10,desk,10,v1,Study,11,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,20:51:57,47,60.3,22.8,53.3,10,0.0,37.57,40.3,70.0,30.0,0.0814,0.4869,0.2937,0.7604,0.2246,0.3898,0.2528,70.0,70.0,30.0,40.0,20.0,0.1058,0.633,0.3818,1.1323,0.292,0.5067,0.3275,False,True,False,False,False,0.4
P10,desk,10,v1,Study,12,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,20:52:38,27,40.8,21.0,49.9,8,0.0,38.0,50.9,52.5,18.3,0.7846,0.3642,0.2078,0.078,0.4304,0.8611,0.1677,60.0,45.0,15.0,30.0,10.0,1.02,0.4735,0.2701,0.6546,0.5595,1.1194,0.2509,True,False,False,False,True,0.4
P10,desk,10,v1,Study,13,sampling,False,R1 215m Draycott Place,20:53:08,17,29.9,44.6,53.6,1,0.0,37.39,55.1,35.0,61.7,0.7659,0.4122,0.16,0.3413,0.802,0.2262,0.1142,35.0,35.0,60.0,65.0,60.0,0.9957,0.5359,0.208,0.8389,1.0426,0.2941,0.2028,True,False,False,True,False,0.4
P10,desk,10,v1,Study,14,sampling,False,R2 165m Cliveden Place,20:53:43,13,35.1,42.3,54.2,0,0.0,45.69,55.4,45.0,70.0,0.6817,0.3053,0.8598,0.5978,0.9408,0.2126,0.5356,40.0,50.0,80.0,70.0,60.0,0.8862,0.3969,1.1177,1.0185,1.223,0.2764,0.582,True,False,True,True,False,0.582
P10,desk,10,v1,Study,15,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,20:54:39,42,56.0,24.4,53.3,7,0.0,39.26,42.5,45.0,51.7,0.5151,0.8406,0.842,0.0866,0.3489,0.6793,0.872,30.0,60.0,45.0,60.0,50.0,0.6696,1.0928,1.0946,0.6606,0.4536,0.8831,0.8848,True,True,True,False,True,0.8848
P10,desk,10,v1,Study,16,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,20:55:34,29,44.7,19.7,39.5,8,0.0,49.12,43.7,20.0,68.3,0.6466,0.7333,0.6871,0.738,0.4379,0.1605,0.1396,20.0,20.0,55.0,75.0,75.0,0.8406,0.9533,0.8932,1.1166,0.5693,0.2087,0.2256,True,True,True,False,False,0.4
P10,desk,10,v1,Study,17,optimization,False,R1 215m Draycott Place,20:57:41,96,114.1,7.9,53.7,1,0.0,38.41,88.6,22.5,73.3,0.5606,0.7465,0.4879,0.774,0.5354,0.2064,0.1434,20.0,25.0,60.0,80.0,80.0,0.7288,0.9705,0.6343,1.1418,0.696,0.2683,0.2291,True,True,True,True,False,0.4
P10,desk,10,v1,Study,18,optimization,False,R2 165m Cliveden Place,20:58:51,39,57.0,14.7,53.9,0,0.0,45.62,81.5,20.0,71.7,0.5502,0.5151,0.5452,0.6289,0.4278,0.1808,0.0,30.0,10.0,55.0,85.0,75.0,0.7153,0.6696,0.7088,1.0402,0.5561,0.235,0.1,True,True,True,False,False,0.4
P10,desk,10,v1,Study,19,optimization,False,R3 283m Basil Street → Hans Road → Brompton Road,21:01:31,126,144.7,7.8,53.2,1,0.0,40.96,90.7,10.0,83.3,0.5805,0.5288,0.6475,0.8257,0.5813,0.2175,0.0779,10.0,10.0,70.0,90.0,90.0,0.7547,0.6874,0.8417,1.178,0.7557,0.2828,0.1701,True,True,True,True,False,0.4
P10,desk,10,v1,Study,20,optimization,True,R7 170m Astell Street → Burnsall Street → King's Road,21:02:29,25,41.0,22.7,44.7,2,0.0,37.39,52.4,10.0,88.3,0.5994,0.5722,0.6884,0.9532,0.5471,0.1627,0.3044,10.0,10.0,75.0,95.0,95.0,0.7792,0.7439,0.8949,1.2672,0.7112,0.2115,0.374,True,True,True,True,False,0.4
P10,desk,10,v1,Study,21,finaldesign,,R1 215m Draycott Place,21:02:59,17,30.1,43.2,53.8,0,0.0,37.98,56.3,5.0,91.7,0.58,0.571,0.548,0.748,0.464,0.205,0.093,5.0,5.0,80.0,100.0,95.0,0.754,0.7423,0.7124,1.1236,0.6032,0.2665,0.1837,True,True,True,True,False,0.4
P11,desk,11,v1,Study,1,sampling,False,R1 215m Draycott Place,11:09:33,53,94.6,14.1,51.2,2,0.0,43.02,50.5,50.0,91.7,0.6152,0.0459,0.1178,0.636,0.5895,0.4046,0.4125,25.0,75.0,85.0,95.0,95.0,0.7998,0.0597,0.1531,1.0452,0.7664,0.526,0.4712,True,False,False,True,False,0.4712
P11,desk,11,v1,Study,2,sampling,False,R2 165m Cliveden Place,11:10:50,16,76.4,35.3,53.7,0,0.0,46.98,59.8,10.0,95.0,0.0836,0.7101,0.0731,0.565,0.7247,0.1148,0.4664,5.0,15.0,95.0,95.0,95.0,0.1087,0.9231,0.095,0.9955,0.9421,0.1492,0.5198,False,True,False,True,False,0.5198
P11,desk,11,v1,Study,3,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,11:12:46,46,116.5,21.3,50.5,2,0.0,42.41,38.1,47.5,80.0,0.9571,0.772,0.0481,0.9916,0.3208,0.0428,0.453,50.0,45.0,90.0,75.0,75.0,1.2442,1.0036,0.0625,1.2941,0.417,0.0556,0.5077,True,True,False,False,False,0.5077
P11,desk,11,v1,Study,4,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,11:13:47,31,60.5,18.2,45.9,1,0.0,43.48,36.9,17.5,95.0,0.4958,0.3448,0.1145,0.3306,0.4753,0.0016,0.3807,30.0,5.0,95.0,95.0,95.0,0.6445,0.4482,0.1489,0.8314,0.6179,0.0021,0.4426,True,False,False,True,False,0.4426
P11,desk,11,v1,Study,5,sampling,False,R1 215m Draycott Place,11:14:46,18,58.9,41.7,53.6,2,0.0,38.7,57.0,7.5,86.7,0.1722,0.8353,0.289,0.772,0.6129,0.9691,0.9823,5.0,10.0,80.0,85.0,95.0,0.2239,1.0859,0.3757,1.1404,0.7968,1.2598,0.9841,False,True,False,True,True,0.9841
P11,desk,11,v1,Study,6,sampling,False,R2 165m Cliveden Place,11:15:49,14,63.1,40.4,54.1,0,0.0,43.5,55.9,27.5,80.0,0.2844,0.0195,0.0672,0.4209,0.271,0.7248,0.2125,50.0,5.0,65.0,80.0,95.0,0.3697,0.0254,0.0874,0.8946,0.3523,0.9422,0.2913,False,False,False,False,True,0.4
