participant,setup,user_id,condition,group,round,phase,isPareto,route,endedAt,driveDurationS,durationInclSurveyS,avgSpeedKmh,maxSpeedKmh,collisions,maxStuckS,energyKwh100km,avgEcoScore,taskLoad,acceptance,size_leaf_norm,size_score_norm,size_feedback_norm,size_speed_norm,size_accel_norm,size_labels_norm,opacity_norm,tlxMental,tlxDistraction,accInformed,accPleasant,accGlance,size_leaf_phys,size_score_phys,size_feedback_phys,size_speed_phys,size_accel_phys,size_labels_phys,opacity_phys,visible_leaf,visible_score,visible_feedback,visible_accel,visible_labels,speed_alpha
P02,motion,2,v1,Study,12,sampling,False,R7 170m Astell Street → Burnsall Street → King's Road,14:13:46,57,71.7,18.2,49.0,11,0.0,45.52,29.8,25.0,80.0,0.5623,0.9395,0.5743,0.762,0.0932,0.5492,0.0332,20.0,30.0,70.0,85.0,85.0,0.731,1.2213,0.7466,1.1334,0.1212,0.714,0.1299,True,True,True,False,True,0.4
P02,motion,2,v1,Study,13,sampling,True,R1 215m Draycott Place,14:14:28,18,42.6,41.8,53.6,0,0.0,37.95,50.1,60.0,76.7,0.2574,0.9926,0.8461,0.0039,0.3035,0.3837,0.7103,40.0,80.0,70.0,80.0,80.0,0.3346,1.2904,1.0999,0.6027,0.3946,0.4988,0.7393,False,True,True,False,False,0.7393
P02,motion,2,v1,Study,14,sampling,False,R2 165m Cliveden Place,14:15:04,15,36.0,38.0,54.0,2,0.0,44.15,53.9,32.5,81.7,0.7135,0.3973,0.9299,0.9288,0.2887,0.7616,0.2663,40.0,25.0,75.0,85.0,85.0,0.9276,0.5165,1.2089,1.2502,0.3753,0.9901,0.3397,True,False,True,False,True,0.4
P02,motion,2,v1,Study,15,sampling,False,R3 283m Basil Street → Hans Road → Brompton Road,14:16:45,80,100.9,14.7,52.4,14,0.0,54.6,27.4,65.0,50.0,0.6459,0.7994,0.9244,0.6415,0.1746,0.5186,0.4579,60.0,70.0,70.0,40.0,40.0,0.8397,1.0392,1.2017,1.0491,0.227,0.6742,0.5121,True,True,True,False,True,0.5121
P02,motion,2,v1,Study,16,optimization,True,R7 170m Astell Street → Burnsall Street → King's Road,14:20:04,70,128.0,8.8,50.4,9,0.0,43.92,54.5,35.0,73.3,0.6187,0.8153,0.4134,0.9445,0.6565,0.6774,0.8963,35.0,35.0,75.0,75.0,70.0,0.8043,1.0599,0.5374,1.2611,0.8535,0.8806,0.9067,True,True,False,True,True,0.9067
P02,motion,2,v1,Study,17,optimization,True,R1 215m Draycott Place,14:22:20,20,53.7,37.9,53.7,0,0.0,37.88,54.2,50.0,76.7,0.2515,0.4696,0.7349,0.6737,0.4703,0.7529,0.8648,40.0,60.0,60.0,70.0,100.0,0.327,0.6105,0.9554,1.0716,0.6114,0.9788,0.8783,False,True,True,True,True,0.8783
P02,motion,2,v1,Study,18,optimization,False,R2 165m Cliveden Place,14:25:46,72,97.7,13.4,53.7,15,0.0,52.73,26.1,12.5,88.3,0.2539,0.2851,0.7084,0.7208,0.6093,0.3708,0.3263,15.0,10.0,85.0,80.0,100.0,0.3301,0.3706,0.9209,1.1046,0.7921,0.482,0.3937,False,False,True,True,False,0.4
P02,motion,2,v1,Study,19,optimization,True,R3 283m Basil Street → Hans Road → Brompton Road,14:29:10,77,95.0,13.6,49.9,10,0.0,45.15,31.4,0.0,100.0,0.646,0.4612,0.2787,0.7158,0.4223,0.8232,0.845,0.0,0.0,100.0,100.0,100.0,0.8398,0.5996,0.3623,1.1011,0.549,1.0702,0.8605,True,False,False,False,True,0.8605
P02,motion,2,v1,Study,20,optimization,False,R7 170m Astell Street → Burnsall Street → King's Road,14:32:07,73,90.7,9.0,44.1,8,0.0,52.93,26.5,15.0,88.3,0.2566,0.4353,0.2603,0.7435,0.4171,0.7368,0.9044,15.0,15.0,65.0,100.0,100.0,0.3336,0.5659,0.3384,1.1204,0.5422,0.9578,0.914,False,False,False,False,True,0.914
P02,motion,2,v1,Study,21,finaldesign,,R1 215m Draycott Place,14:32:51,29,43.7,25.8,53.5,0,0.0,38.68,63.6,0.0,100.0,0.646,0.461,0.279,0.716,0.422,0.823,0.845,0.0,0.0,100.0,100.0,100.0,0.8398,0.5993,0.3627,1.1012,0.5486,1.0699,0.8605,True,False,False,False,True,0.8605
