"participant","round","Phase","PhaseBO","isPareto","energy","taskload","accInformed","accPleasant","accGlance","size_leaf","size_score","size_feedback","size_speed","size_accel","size_labels","opacity","routeCode","avgSpeedKmh","maxSpeedKmh","collisions","maxStuckS","avgEcoScore","tlxMental","tlxDistraction","drivingTimeS","distanceM","sdSpeedKmh","meanAbsAccel","sdAccel","pctHarshAccel","sdThrottle","sdSteer","pctStopped","finalEcoScore","nVisible","speed_alpha","energy_n","taskload_n","accInformed_n","accPleasant_n","accGlance_n","overallQuality"
"P13",5,"Sampling","sampling",FALSE,32.536,10,75,85,85,0.117,0.045,0.024,0.41,0.007,0.873,0.441,"R1",37.1,53.9,0,0,58.6,10,10,20.62,212.434495173284,20.7581993115627,1.63842054263566,2.85966219661799,21.0271317829457,0.335858000680388,0.00460949391921006,17.4418604651163,66,1,0.4966,0.216906666666667,0.1,0.25,0.15,0.15,82.6618666666667
"P13",6,"Sampling","sampling",FALSE,45.144,7.5,85,85,80,0.465,0.782,0.716,0.067,0.948,0.87,0.466,"R2",34.4,54.3,0,0,62.3,10,5,16.97,162.10591955508,21.9005774459018,1.33566313309776,1.77249886015245,18.9634864546525,0.353422439542958,0.00749652674204614,21.319199057715,56,5,0.5194,0.30096,0.075,0.15,0.15,0.2,82.4808
"P13",7,"Sampling","sampling",TRUE,38.87,12.5,95,90,85,0.795,0.523,0.695,0.747,0.36,0.384,0.248,"R3",17,52.7,9,0,32.6,10,15,60.56,286.728567473623,17.2079913015762,2.5143661274348,5.22276780036572,40.5084186200066,0.594784635748727,0.115194935342959,26.1802575107296,7.7,3,0.4,0.259133333333333,0.125,0.05,0.1,0.15,86.3173333333333
"P13",8,"Sampling","sampling",TRUE,51.241,10,100,75,90,0.618,0.54,0.791,0.59,0.598,0.941,0.903,"R7",14.7,44.9,3,0,36.7,10,10,38.61,157.257159644348,12.7511625939758,2.58114189539099,3.893818755865,47.2294148109788,0.463960976370085,0.160534089557657,28.4308648368721,75.7,5,0.9128,0.341606666666667,0.1,0,0.25,0.1,84.1678666666667
"P13",9,"Sampling","sampling",TRUE,39.476,12.5,90,95,90,0.841,0.149,0.281,0.061,0.844,0.907,0.281,"R1",40.1,53.5,0,0,57.1,10,15,19.08,212.666495895946,18.3334435758033,1.54111937172775,1.91412765420701,18.6387434554974,0.239425253738443,0.00693764218421871,5.23560209424084,63,3,0.4,0.263173333333333,0.125,0.1,0.05,0.1,87.2365333333333
"P13",10,"Sampling","sampling",FALSE,44.433,5,85,85,85,0.245,0.209,0.041,0.264,0.339,0.237,0.591,"R2",38.2,54.4,0,0,58.2,10,0,15.27,161.928390446499,19.7813891647416,1.42066623036649,1.81394591792242,20.6806282722513,0.287573620386571,0.00666629497201468,12.9581151832461,56.1,0,0.6319,0.29622,0.05,0.15,0.15,0.15,84.0756
"P13",11,"Sampling","sampling",FALSE,42.969,7.5,90,90,90,0.34,0.276,0.946,0.512,0.186,0.544,0.677,"R3",31.9,52.7,5,0,55.8,10,5,31.09,275.767462930473,17.6989289904359,2.27979807073955,8.72138880063185,30.6109324758842,0.338029954540371,0.104989895933004,9.96784565916399,65.1,2,0.7096,0.28646,0.075,0.1,0.1,0.1,86.7708
"P13",12,"Sampling","sampling",FALSE,48.083,10,90,85,85,0.27,0.738,0.303,0.437,0.383,0.258,0.111,"R7",21.9,47.4,2,0,42.9,10,10,25.77,156.964889549237,12.2678117932775,2.60310783553142,3.79315204049196,37.3933281613654,0.375007057742373,0.13925364426897,10.6283941039566,48.9,1,0.4,0.320553333333333,0.1,0.1,0.15,0.15,83.5889333333333
"P13",13,"Sampling","sampling",FALSE,38.561,12.5,85,85,90,0.091,0.024,0.753,0.752,0.949,0.602,0.509,"R1",43.4,53.7,0,0,56.1,10,15,17.67,212.798327538411,16.565748521025,1.52475226244344,1.92258331979346,20.7013574660633,0.182390907311614,0.0109749950239447,5.31674208144796,60.6,3,0.5577,0.257073333333333,0.125,0.15,0.15,0.1,84.3585333333333
"P13",14,"Sampling","sampling",FALSE,43.946,7.5,90,90,90,0.225,0.201,0.671,0.593,0.87,0.7,0.237,"R2",36.6,54.4,0,0,59.5,5,10,15.92,162.00849306448,20.794939478688,1.32742158092848,1.72685837619022,18.6951066499373,0.315322185717297,0.0064988714191497,15.8092848180678,55.6,3,0.4,0.292973333333333,0.075,0.1,0.1,0.1,86.6405333333333
